Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Fra:1 Mem:52.06M (Peak 52.32M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Foundation
Fra:1 Mem:55.26M (Peak 55.33M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.051
Fra:1 Mem:55.27M (Peak 55.33M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.052
Fra:1 Mem:55.35M (Peak 55.35M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.053
Fra:1 Mem:55.38M (Peak 55.38M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.054
Fra:1 Mem:55.45M (Peak 55.45M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.055
Fra:1 Mem:55.47M (Peak 55.47M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.058
Fra:1 Mem:55.48M (Peak 55.48M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.059
Fra:1 Mem:55.52M (Peak 55.52M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.060
Fra:1 Mem:55.52M (Peak 55.52M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.061
Fra:1 Mem:55.65M (Peak 55.65M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.062
Fra:1 Mem:55.64M (Peak 55.65M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.063
Fra:1 Mem:55.67M (Peak 55.67M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.064
Fra:1 Mem:55.69M (Peak 55.69M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.065
Fra:1 Mem:55.69M (Peak 55.69M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.066
Fra:1 Mem:55.76M (Peak 55.76M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.067
Fra:1 Mem:55.75M (Peak 55.76M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.068
Fra:1 Mem:55.74M (Peak 55.76M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.069
Fra:1 Mem:55.77M (Peak 55.77M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.070
Fra:1 Mem:55.77M (Peak 55.77M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.071
Fra:1 Mem:55.79M (Peak 55.79M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.072
Fra:1 Mem:55.86M (Peak 55.86M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.073
Fra:1 Mem:55.90M (Peak 55.90M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.074
Fra:1 Mem:55.93M (Peak 55.93M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.075
Fra:1 Mem:55.96M (Peak 55.96M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.076
Fra:1 Mem:55.93M (Peak 55.96M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.078
Fra:1 Mem:56.00M (Peak 56.00M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fine worn joint
Fra:1 Mem:56.05M (Peak 56.05M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.079
Fra:1 Mem:56.02M (Peak 56.05M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.080
Fra:1 Mem:56.08M (Peak 56.08M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fine worn joint.001
Fra:1 Mem:56.06M (Peak 56.08M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fine worn joint.002
Fra:1 Mem:56.08M (Peak 56.08M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.082
Fra:1 Mem:56.07M (Peak 56.08M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fine worn joint.003
Fra:1 Mem:56.15M (Peak 56.15M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.083
Fra:1 Mem:56.11M (Peak 56.15M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.085
Fra:1 Mem:56.13M (Peak 56.15M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fine worn joint.004
Fra:1 Mem:56.21M (Peak 56.21M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fine worn joint.005
Fra:1 Mem:56.21M (Peak 56.21M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.086
Fra:1 Mem:56.20M (Peak 56.21M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Chair-shaped dent
Fra:1 Mem:56.22M (Peak 56.22M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.087
Fra:1 Mem:56.22M (Peak 56.22M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.089
Fra:1 Mem:56.21M (Peak 56.22M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.092
Fra:1 Mem:56.27M (Peak 56.27M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.093
Fra:1 Mem:56.38M (Peak 56.38M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.094
Fra:1 Mem:56.44M (Peak 56.44M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wheel spoke
Fra:1 Mem:56.41M (Peak 56.44M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.095
Fra:1 Mem:56.41M (Peak 56.44M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar
Fra:1 Mem:56.42M (Peak 56.44M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wheel spoke.001
Fra:1 Mem:56.47M (Peak 56.47M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wheel spoke.002
Fra:1 Mem:56.50M (Peak 56.50M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.002
Fra:1 Mem:56.46M (Peak 56.50M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.004
Fra:1 Mem:56.50M (Peak 56.50M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wheel spoke.003
Fra:1 Mem:56.57M (Peak 56.57M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.005
Fra:1 Mem:56.56M (Peak 56.57M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.006
Fra:1 Mem:56.58M (Peak 56.58M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Speaking tube rising conduit
Fra:1 Mem:56.63M (Peak 56.63M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Umbrella hooked handle
Fra:1 Mem:56.65M (Peak 56.65M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.007
Fra:1 Mem:56.61M (Peak 56.65M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.008
Fra:1 Mem:56.67M (Peak 56.67M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar
Fra:1 Mem:56.67M (Peak 56.67M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.002
Fra:1 Mem:56.69M (Peak 56.69M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.003
Fra:1 Mem:56.70M (Peak 56.70M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Umbrella hooked handle.002
Fra:1 Mem:56.74M (Peak 56.74M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.009
Fra:1 Mem:56.81M (Peak 56.81M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.010
Fra:1 Mem:56.80M (Peak 56.81M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Umbrella hooked handle.003
Fra:1 Mem:56.86M (Peak 56.86M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch
Fra:1 Mem:56.82M (Peak 56.86M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.011
Fra:1 Mem:56.84M (Peak 56.86M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.013
Fra:1 Mem:56.86M (Peak 56.86M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.001
Fra:1 Mem:56.89M (Peak 56.89M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.014
Fra:1 Mem:56.89M (Peak 56.89M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.015
Fra:1 Mem:56.91M (Peak 56.91M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.002
Fra:1 Mem:56.99M (Peak 56.99M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.003
Fra:1 Mem:56.98M (Peak 56.99M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.017
Fra:1 Mem:56.98M (Peak 56.99M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.004
Fra:1 Mem:57.01M (Peak 57.01M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.004
Fra:1 Mem:57.02M (Peak 57.02M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.006
Fra:1 Mem:57.04M (Peak 57.04M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.007
Fra:1 Mem:57.05M (Peak 57.05M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.018
Fra:1 Mem:57.12M (Peak 57.12M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.005
Fra:1 Mem:57.13M (Peak 57.13M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.006
Fra:1 Mem:57.15M (Peak 57.15M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.019
Fra:1 Mem:57.13M (Peak 57.15M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.007
Fra:1 Mem:57.14M (Peak 57.15M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.020
Fra:1 Mem:57.16M (Peak 57.16M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.022
Fra:1 Mem:57.17M (Peak 57.17M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.008
Fra:1 Mem:57.23M (Peak 57.23M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.009
Fra:1 Mem:57.20M (Peak 57.23M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.010
Fra:1 Mem:57.22M (Peak 57.23M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.023
Fra:1 Mem:57.20M (Peak 57.23M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.011
Fra:1 Mem:57.21M (Peak 57.23M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.025
Fra:1 Mem:57.21M (Peak 57.23M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.012
Fra:1 Mem:57.30M (Peak 57.30M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.013
Fra:1 Mem:57.25M (Peak 57.30M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.014
Fra:1 Mem:57.26M (Peak 57.30M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.026
Fra:1 Mem:57.27M (Peak 57.30M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.008
Fra:1 Mem:57.28M (Peak 57.30M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.010
Fra:1 Mem:57.30M (Peak 57.30M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Soft ceiling bounce
Fra:1 Mem:57.33M (Peak 57.33M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Cool coastal fill
Fra:1 Mem:57.34M (Peak 57.34M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Warm maintenance lamp.001
Fra:1 Mem:57.32M (Peak 57.34M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Warm maintenance lamp
Fra:1 Mem:57.33M (Peak 57.34M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Presentation ground
Fra:1 Mem:57.33M (Peak 57.34M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage.007
Fra:1 Mem:57.34M (Peak 57.34M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.011
Fra:1 Mem:57.37M (Peak 57.37M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage.006
Fra:1 Mem:57.38M (Peak 57.38M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.027
Fra:1 Mem:57.45M (Peak 57.45M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage.005
Fra:1 Mem:57.47M (Peak 57.47M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage.004
Fra:1 Mem:57.45M (Peak 57.47M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.028
Fra:1 Mem:57.47M (Peak 57.47M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cap.001
Fra:1 Mem:57.48M (Peak 57.49M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.029
Fra:1 Mem:57.51M (Peak 57.51M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.030
Fra:1 Mem:57.57M (Peak 57.57M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern glass.001
Fra:1 Mem:57.59M (Peak 57.59M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.031
Fra:1 Mem:57.65M (Peak 57.65M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern base.001
Fra:1 Mem:57.64M (Peak 57.65M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.032
Fra:1 Mem:57.65M (Peak 57.65M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.033
Fra:1 Mem:57.71M (Peak 57.71M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sconce bracket.001
Fra:1 Mem:57.71M (Peak 57.71M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.034
Fra:1 Mem:57.78M (Peak 57.78M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.035
Fra:1 Mem:57.78M (Peak 57.78M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.012
Fra:1 Mem:57.82M (Peak 57.82M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.013
Fra:1 Mem:57.82M (Peak 57.82M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.015
Fra:1 Mem:57.88M (Peak 57.88M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.036
Fra:1 Mem:57.90M (Peak 57.90M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.037
Fra:1 Mem:57.91M (Peak 57.91M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage.002
